,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Allison Park,US,15101,,15101,False,PA,1215 Zeno Lane,0,,147841752,
1,Casa Grande,US,85122,1006,85122-1006,False,AZ,1202 E Avenida Grande,1,,41030594,
2,Ruskin,US,33570,5108,33570-5108,False,FL,939 Meadow Glade Dr,2,,250759326,
3,Tigard,US,97223,,97223,False,OR,11165 Southwest 109th Avenue,3,,47013122,
4,Denver,US,80210,,80210,False,CO,2128 South Humboldt Street,4,,51282208,
5,Beaumont,US,77703,,77703,True,TX,1125 Wiess St,5,,167682485,
6,zebulon,US,27597,,27597,False,NC,2924 Greenridge View Lane,6,,42572944,
7,Lafayette,US,70508,7157,70508-7157,False,LA,215 Edinburgh Dr,7,,218213063,
8,Brooklyn,US,11201,4118,11201-4118,False,NY,11 Montague Ter,8,,168049533,
9,Midlothian,US,23114,,23114,False,VA,1042 Alcorn Terrace,9,,199144313,
10,Auburn,US,36830,2575,36830-2575,False,AL,1744 Piedmont Dr,10,,29141509,
11,Benton,US,71006,8604,71006-8604,False,LA,2004 Old Plain Dealing Rd,11,,210366244,
12,Westlake,US,70669,4814,70669-4814,False,LA,414 E Krause St,12,,189655529,
13,Holiday,US,34690,6439,34690-6439,False,FL,5750 Melaleuca Dr,13,,163489045,
14,Winneconne,US,54986,9338,54986-9338,False,WI,11 N 3rd Ave,14,,193253751,
15,Brownwood,US,76801,,76801,False,TX,1504 Southgate Drive,15,,253523072,
16,Overland Park,US,66210,,66210,False,KS,11200 Benson Street,16,,21234739,
17,roswell,US,30076,,30076,False,GA,1010 harbor landing,17,,,
18,Monsey,US,10952,,10952,False,NY,31 Astor Place,18,,169080341,
19,Angel Fire,US,87710,,87710,False,NM,64 Mammoth Mountain Rd,19,,239051315,
20,Springfield,US,97478,,97478,False,OR,5743 Mt Vernon rd,20,,28900595,
21,Somers,US,6071,1033,06071-1033,False,CT,19 White Birch Cir,21,,203306954,
22,Franklin Square,US,11010,3807,11010-3807,False,NY,138 Lincoln Rd,22,,170519723,
23,Springfield,US,1151,,1151,False,MA,409 Goodwin Street,23,,,
24,Wichita,US,67209,,67209,False,KS,10625 W Maple St Unit A1,24,,239328252,
