,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
136,Hartford,US,42347,1841,42347-1841,False,KY,203 Carlisle Rd,136,,,
137,Snellville,US,30078,,30078,False,GA,2443 Folsom Street,137,,151177823,
138,Conyers,US,30094,5817,30094-5817,False,GA,1702 Lancaster Creek Cir SW,138,,171881844,
139,Broomall,US,19008,,19008,False,PA,126 Sylvan Drive,139,,147994076,
140,brownsville,US,78520,,78520,False,TX,1006 grey fox cir,140,,166444261,
141,Denver,US,80229,5918,80229-5918,False,CO,811 Downing Way,141,,2940258,
142,New Braunfels,US,78130,4451,78130-4451,False,TX,1062 Calm Breeze,142,,249481241,
143,Palmyra,US,22963,2808,22963-2808,False,VA,433 Jefferson Dr,143,,213210240,
144,Baytown,US,77521,,77521,False,TX,5306 Fairtide Drive,144,,41719682,
145,Las Vegas,US,89103,,89103,True,NV,4320 Gannet Cir apt 113,145,,45576259,
146,Niles,US,60714,,60714,False,IL,7131 N Riverside Dr,146,,150478386,
147,Sugarloaf,US,18249,3623,18249-3623,False,PA,34 Prospect Rd,147,,179695902,
148,Brazil,US,47834,7919,47834-7919,False,IN,1007 W Deer Creek Dr,148,,214914322,
149,Katy,US,77449,6168,77449-6168,False,TX,19811 Arbor Creek Dr,149,,44584830,
150,Eastvale,US,92880,,92880,False,CA,14903 Bridal Trail Circle,150,,147328202,
151,Placentia,US,92870,2410,92870-2410,True,CA,1713 Canard Ave,151,,21998915,
152,Gurnee,US,60031,1532,60031-1532,False,IL,18361 W Woodland Ter,152,,175575180,
153,Overton,US,68863,5805,68863-5805,False,NE,74741 E Rd,153,,,
154,Harvard,US,60033,,60033,False,IL,7809 Commercial St,154,,145202173,
155,Jb Andrews,US,20762,5496,20762-5496,False,MD,2026 Bedford Dr,155,,,
156,Port Chester,US,10573,,10573,True,NY,52 riverdale ave,156,,53532835,
157,Murrieta,US,92562,6052,92562-6052,True,CA,23734 Morning Glory Dr,157,,46166216,
158,Galloway,US,43119,,43119,False,OH,956 Drayson Dr,158,,27315344,
159,Fort Worth,US,76106,7105,76106-7105,False,TX,2825 Ellis Ave,159,,166125633,
160,Aurora,US,60505,,60505,False,IL,930 Autumn Lane,160,,7587864,
161,Garnerville,US,10923,,10923,False,NY,23 Stanley Rd.,161,,4293474,
162,Fontana,US,92335,5416,92335-5416,False,CA,15884 Grevillea St,162,,20308622,
163,Oxford,US,48371,4974,48371-4974,False,MI,96 S Washington St,163,,146940030,
164,Chicago,US,60630,,60630,False,IL,4451 N Kilbourn Ave,164,,175158736,
165,Addis,US,70710,3043,70710-3043,False,LA,4108 Olivia Dr,165,,,
166,San Antonio,US,78218,4223,78218-4223,False,TX,203 Grantham Dr,166,,36526635,
167,Wilmington,US,90744,3165,90744-3165,False,CA,1155 Ravenna Ave,167,,,
168,Sacramento,US,95823,4920,95823-4920,False,CA,6800 Wyndham Dr Apt T1,168,,,
169,Arcadia,US,91007,7326,91007-7326,False,CA,515 W Duarte Rd,169,,154804379,
170,Far Rockaway,US,11691,,11691,False,NY,2944 Beach Channel Drive,170,,,
171,El Paso,US,79925,,79925,False,TX,6101 Gateway West Blvd Apt 207,171,,164742404,
172,Sugar Land,US,77479,5488,77479-5488,False,TX,2506 Stonebury Ln,172,,2585380,
173,Stone Mountain,US,30087,2960,30087-2960,False,GA,1054 Hodges Way,173,,46958526,
174,Wyckoff,US,7481,,7481,False,NJ,585 Eder ave,174,,17543627,
175,New Albany,US,47150,2000,47150-2000,False,IN,117 McConnell Dr,175,,233721221,
176,League City,US,77573,,77573,False,TX,4501 Weathersfield Ct.,176,,36370768,
177,Elk Grove,US,95757,1669,95757-1669,False,CA,10424 Siltstone Way,177,,216291259,
178,Kew Gardens,US,11415,,11415,False,NY,85-18 125th Street,178,,141370314,
179,Denver,US,80203,,80203,False,CO,1435 N pearl St,179,,13832632,
180,Valley Stream,US,11580,,11580,False,NY,62 Stephen Place,180,,142775286,
181,Modesto,US,95354,3837,95354-3837,False,CA,405 S Conejo Ave,181,,19429221,
182,RIVERBANK,US,95367,,95367,False,CA,3960 SWEEPSTAKES DR,182,,21764060,
183,Henderson,US,89074,,89074,False,NV,1158 Teal point dr.,183,,10705746,
184,Saint Petersburg,US,33703,4520,33703-4520,False,FL,950 39th Ave N,184,,161652390,
185,Charlestown,US,3603,4226,03603-4226,False,NH,60 Windy Acres Rd,185,,246979523,
186,La Grange,US,28551,6708,28551-6708,False,NC,3725 Sandy Ridge Farm Rd,186,,248364236,
187,Belgrade,US,59715,,59715,False,MT,401 bridger view,187,,218019647,
188,Kirbyville,US,75956,4245,75956-4245,False,TX,1821 County Road 474,188,,,
189,Sunrise,US,33323,,33323,False,FL,11901 NW 42nd ST,189,,159863695,
190,Richmond,US,77406,9673,77406-9673,False,TX,1800 Pecan Lake Dr,190,,165760720,
191,Smyrna,US,19977,,19977,False,DE,374 India Drive,191,,9906605,
192,Marietta,US,30008,3269,30008-3269,False,GA,543 Picketts Bend Cir,192,,10715313,
193,Greensboro,US,27408,,27408,False,NC,1809 Colonial Ave,193,,2227330,
194,Deltona,US,32738,9092,32738-9092,False,FL,642 Vardon Ave,194,,38227996,
195,Olalla,US,98359,,98359,False,WA,10848 Orchard Ave SE,195,,206597852,
196,Sherwood,US,72120,3265,72120-3265,False,AR,127 Plumdale Dr,196,,40699439,
197,Ruskin,US,33570,,33570,False,FL,2206 Chaney Dr. #240,197,,39942137,
198,Advance,US,27006,7082,27006-7082,True,NC,192 Thousand Trails Dr,198,,,
199,N Tonawanda,US,14120,,14120,False,NY,253 Oelkers St,199,,48785965,
