,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Lakeland,US,33812,5237,33812-5237,False,FL,3160 Otto Dr,0,,162278089,
1,Indianapolis,US,46227,,46227,False,IN,940 Tulip Dr,1,,28461481,
2,Troutville,US,24175,6054,24175-6054,False,VA,68 Rocky Top Rd,2,,214628965,
3,West Jefferson,US,43162,,43162,False,OH,3330 Taylor Blair Rd,3,,246515148,
4,Orange Park,US,32065,,32065,False,FL,4254 Eagle Landing Parkway,4,,164680663,
5,Chestnut Hill,US,2467,,2467,False,MA,140 commonwealth avenue,5,,202686834,
6,sartell,US,56377,,56377,False,MN,1644 pebble creek drive,6,,212775496,
7,Trevor,US,53179,,53179,False,WI,29004 112th Pl,7,,53200641,
8,Newton,US,28658,,28658,False,NC,3649 North Olivers Cross Road,8,,176723099,
9,Englewood,US,80110,,80110,False,CO,3031 S Cherokee St,9,,146962509,
10,Fairfield,US,94533,6834,94533-6834,False,CA,2385 Burgundy Way,10,,156023420,
11,Duluth,US,55811,9729,55811-9729,False,MN,5956 Sunny Ln,11,,141071148,
12,Rego Park,US,11374,2213,11374-2213,False,NY,9725 64th Ave,12,,169759254,
13,Laconia,US,3246,2701,03246-2701,False,NH,16 Belknap St,13,,155173818,
14,Miami,US,33143,7790,33143-7790,False,FL,8215 SW 72nd Ave,14,,26311336,
15,Temecula,US,92591,4633,92591-4633,False,CA,27475 Ynez Rd Ste 726,15,,,
16,Kissimmee,US,34743,6038,34743-6038,False,FL,2633 Walden Ct,16,,17572120,
17,Durham,US,27703,8957,27703-8957,False,NC,322 Westgrove Ct,17,,203959324,
18,Martinez,US,94553,4964,94553-4964,False,CA,70 Fountainhead Ct,18,,18550459,
19,Long Beach,US,90808,2735,90808-2735,False,CA,3418 Woodruff Ave,19,,154870059,
20,Homestead,US,33033,7089,33033-7089,False,FL,355 NE 30th Ave,20,,16689425,
21,Buena Park,US,90620,2111,90620-2111,False,CA,8098 Carnation Dr,21,,22645852,
22,Norwalk,US,6854,1548,06854-1548,False,CT,9 Ferris Ave,22,,198700455,
23,La Puente,US,91744,1743,91744-1743,False,CA,14472 Rath St,23,,40351371,
24,Severna Park,US,21146,1731,21146-1731,False,MD,507 Benforest Dr,24,,145546539,
25,Loveland,US,45140,,45140,False,OH,10066 Ohio 48,25,,,
26,Hackettstown,US,7840,5698,07840-5698,False,NJ,254 Winding Hill Dr,26,,196012255,
27,Lexington,US,40507,,40507,False,KY,120 East Main Street,27,,210516099,
28,North Hollywood,US,91605,3018,91605-3018,False,CA,12357 Doran Pl,28,,148885304,
29,Lake Forest Park,US,98155,2467,98155-2467,False,WA,19230 Forest Park Dr NE Apt H126,29,,185797270,
30,Burlington,US,52601,5913,52601-5913,False,IA,1005 S 10th St,30,,31318259,
31,South Point,US,45680,,45680,False,OH,114 Private Road 2482,31,,183250596,
32,Chetek,US,54728,,54728,False,WI,933 28th St,32,,,
33,FORT COLLINS,US,80525,,80525,False,CO,6951 Aruba Ln,33,,14345795,
34,Perris,US,92571,,92571,False,CA,375 E Ramona Expressway,34,,157164321,
35,Fort Lauderdale,US,33309,,33309,True,FL,3723 Pacific Breeze Circle,35,,,
36,New Orleans,US,70131,,70131,False,LA,5000 Woodland Dr,36,,193182543,
37,oakland,US,94603,,94603,False,CA,1939 109th ave,37,,24152151,
38,Crestview,US,32536,,32536,False,FL,2481 Bell Ridge Dr,38,,54821944,
39,brooklyn,US,11211,,11211,False,NY,170 north 5th st,39,,151216922,
40,Lawrenceville,US,30043,,30043,False,GA,1670 Granville Court,40,,153620462,
41,Alpharetta,US,30009,,30009,False,GA,993 Dassow Ct,41,,312243606,
42,Naperville,US,60565,6739,60565-6739,False,IL,1718 Beloit Dr,42,,49767243,
43,Oakley,US,94561,5229,94561-5229,False,CA,58 Grand Canyon Cir,43,,10171757,
44,Middle River,US,21220,4604,21220-4604,False,MD,43 Blister St,44,,187017677,
45,Bristol,US,24202,2773,24202-2773,False,VA,22219 Jewell Dr,45,,211821027,
46,Bloomfield,US,6002,,6002,False,CT,30 Liberty Sq,46,,,
47,Katy,US,77449,2145,77449-2145,False,TX,3711 Bright Moon Ct,47,,326535925,
48,Wickliffe,US,44092,,44092,False,OH,1017 Worden Road,48,,183182672,
49,Sidney,US,45365,3465,45365-3465,False,OH,1231 Maple Leaf Ct,49,,41100173,
50,Berwyn,US,60402,2779,60402-2779,False,IL,2703 Clarence Ave,50,,23074478,
51,Houston,US,77039,6135,77039-6135,False,TX,11822 Varnell St,51,,165824804,
52,St. Augustine,US,32080,,32080,False,FL,268 Ocean Cay Boulevard,52,,252322208,
53,Chicago,US,60615,2374,60615-2374,False,IL,4950 S King Dr Apt 3E,53,,140885379,
54,Sanger,US,93657,,93657,True,CA,849 sequoia ave,54,,150243646,
55,Buckeye,US,85396,7241,85396-7241,False,AZ,25982 W Potter Dr,55,,152483391,
56,Cedar Rapids,US,52405,,52405,False,IA,4627 1st Avenue SW,56,,5018590,
57,Montclair,US,91763,,91763,False,CA,4948 olive street,57,,239949082,
58,Wynantskill,US,12198,,12198,False,NY,323 Peck Road,58,,170476863,
59,Hopewell Junction,US,12533,,12533,True,NY,50 Oak Dr,59,,144965966,
60,Somerville,US,2145,4123,02145-4123,False,MA,53 Flint St,60,,53179823,
61,Maynard,US,1754,2119,01754-2119,False,MA,113 Parker St,61,,193418019,
62,Del rio,US,78840,,78840,False,TX,111 kingsway,62,,235586614,
63,Cactus,US,79013,,79013,True,TX,710 Ashton,63,,238993268,
64,Adelanto,US,92301,,92301,False,CA,11081 Fuchsia ct,64,,246260153,
65,Hialeah,US,33015,4567,33015-4567,False,FL,6290 NW 173rd St,65,,162849094,
66,Lubbock,US,79423,3843,79423-3843,False,TX,3404 97th St,66,,167660944,
67,Georgetown,US,19947,2316,19947-2316,False,DE,308 N Margaret St,67,,30906378,
68,Castro Valley,US,94546,3824,94546-3824,False,CA,17474 Ehle St,68,,35009955,
69,Seattle,US,98107,,98107,False,WA,1501 NW 56th St,69,,,
70,Dallas,US,75211,,75211,False,TX,1804 Uruapan Plz,70,,41567103,
71,Dallas,US,75235,,75235,False,TX,3301 Hudnall St Apt 3301,71,,167325990,
72,Plymouth,US,48170,,48170,False,MI,11705 Sycamore Dr,72,,246235498,
73,Kimball,US,55353,2739,55353-2739,True,MN,12420 County Road 150,73,,212532697,
74,Lowell,US,46356,,46356,False,IN,17517 Merlin Drive,74,,31442893,
75,Houston,US,77083,1423,77083-1423,True,TX,6222 Ladera Dr,75,,41618418,
76,Briarwood,US,11435,2590,11435-2590,False,NY,14168 85th Rd Apt 6B,76,,,
77,PORT CHARLOTTE,US,33954,,33954,False,FL,23509 NELSON AVE,77,,146101137,
78,Providence,US,2903,,2903,False,RI,131 Washington Street,78,,,
79,Champaign,US,61821,2625,61821-2625,False,IL,1202 W Washington St,79,,25850551,
80,Cumberland,US,2864,1814,02864-1814,False,RI,4040 Mendon Rd,80,,194846354,
81,Daly City,US,94015,3704,94015-3704,False,CA,780 Beechwood Dr,81,,155927206,
82,Houston,US,77090,6739,77090-6739,False,TX,150 Dominion Park Dr Apt 908,82,,,
83,Orland Hills,US,60487,7215,60487-7215,False,IL,8840 Hickory Dr,83,,100024042,
84,Staten Island,US,10310,1219,10310-1219,False,NY,39 Dongan St,84,,46791848,
85,Eugene,US,97404,,97404,False,OR,1570 Alderwood Street,85,,195561920,
86,Bloomfield,US,7003,5001,07003-5001,False,NJ,397 Berkeley Ave,86,,50475166,
87,Gamaliel,US,72537,9513,72537-9513,False,AR,3762 Highway 101,87,,,
88,Honolulu,US,96825,2652,96825-2652,False,HI,1145 Wainiha St,88,,192634951,
89,Parker,US,80134,3357,80134-3357,False,CO,9611 Keystone Trl,89,,320460134,
90,Bayonne,US,7002,2125,07002-2125,False,NJ,10 Bergen Ct,90,,,
91,Midland,US,79703,6416,79703-6416,False,TX,3812 Cedar Spring Dr,91,,34483192,
92,Glendale Heights,US,60139,,60139,False,IL,24 Oriole Ln,92,,174629539,
93,Somerset,US,2726,4718,02726-4718,False,MA,55 Forestdale Dr,93,,8490749,
94,Fairfield,US,17320,,17320,False,PA,48 Crossland Trail,94,,213999376,
95,Swartz Creek,US,48473,9728,48473-9728,False,MI,2064 S Elms Rd,95,,151938102,
96,Myrtle Beach,US,29588,,29588,False,SC,315 Saint Andrews Lane,96,,192694848,
97,Houston,US,77048,4162,77048-4162,False,TX,12802 Rockford Dr,97,,993423,
98,Wadsworth,US,44281,8648,44281-8648,False,OH,10397 Golden Ridge Dr,98,,52642749,
99,San Antonio,US,78213,,78213,False,TX,1332 Grey Oak Dr,99,,167302284,
100,Rancho Cucamonga,US,91730,3132,91730-3132,False,CA,8279 Tapia Via Dr,100,,16858038,
101,Oxon Hill,US,20745,1114,20745-1114,False,MD,733 Shelby Dr,101,,18324821,
102,Rockford,US,61108,8023,61108-8023,False,IL,2125 Wentworth Ave,102,,,
103,Marysville,US,98271,8374,98271-8374,False,WA,11727 47th Ave NE Unit A,103,,185503193,
104,Beach Park,US,60087,,60087,False,IL,37541 N. North Ave.,104,,176173159,
105,Old Greenwich,US,6870,,6870,False,CT,15 Shore Road,105,,190693743,
106,Bronx,US,10454,3118,10454-3118,False,NY,600 E 137th St,106,,,
107,Gilbert,US,85234,7627,85234-7627,False,AZ,4343 E Princeton Ave,107,,158882909,
108,Berkeley,US,94704,2260,94704-2260,False,CA,2425 Channing Way,108,,,
109,Lindenhurst,US,11757,,11757,False,NY,79 East Seacrest Avenue,109,,170554585,
110,Alexandria,US,22304,,22304,False,VA,250 S Whiting St,110,,148136327,
111,Coushatta,US,71019,,71019,True,LA,5296 Highway 507,111,,,
112,Danielson,US,6239,1918,06239-1918,False,CT,154 Mechanic St,112,,3015659,
113,Murrieta,US,92562,,92562,False,CA,24312 Via Las Junitas,113,,21360372,
114,Socorro,US,79927,3819,79927-3819,False,TX,10743 Gail Pl,114,,7595814,
115,Harvey,US,70058,4915,70058-4915,False,LA,1886 Otis St,115,,146294869,
116,Auburn,US,36832,,36832,False,AL,1985 Lee rd 137 Apt A,116,,,
117,Manchester,US,37355,3525,37355-3525,False,TN,2149 Woodbury Hwy,117,,54079445,
118,Richmond,US,23223,1500,23223-1500,False,VA,2916 Sandy Grove Ct,118,,34623137,
119,Berry,US,35546,2449,35546-2449,False,AL,655 Barrie Ln,119,,,
120,Akron,US,44313,5314,44313-5314,False,OH,2004 Thornhill Dr,120,,29895554,
121,San Jose,US,95122,1153,95122-1153,False,CA,2534 Greenstone Ct,121,,19548270,
122,Malden,US,2148,,2148,False,MA,180 Kennedy Dr. Apt 511,122,,193405412,
123,Takoma Park,US,20912,,20912,False,MD,7736 Maple Ave,123,,,
124,Spring,US,77380,1208,77380-1208,False,TX,3202 Gary Ln,124,,17332121,
125,Houston,US,77082,5659,77082-5659,False,TX,3707 Shadow Wick Ln,125,,50717624,
126,Silver Spring,US,20901,1443,20901-1443,False,MD,710 Burnt Mills Ave,126,,50153027,
127,Selden,US,11784,1323,11784-1323,False,NY,354 Magnolia Dr,127,,2396433,
128,Charlotte,US,28216,3186,28216-3186,True,NC,415 Ferrell Ave,128,,31236220,
129,Laramie,US,82070,,82070,False,WY,11 Sara Ct.,129,,,
130,Strasburg,US,22657,3610,22657-3610,False,VA,447 Little Sorrel Dr,130,,23881656,
131,Goodyear,US,85338,7343,85338-7343,False,AZ,16739 W Yavapai St,131,,16920902,
132,Prattville,US,36067,4443,36067-4443,False,AL,506 Harrison Rd,132,,,
133,Denison,US,75020,3535,75020-3535,False,TX,114 S Imperial Dr,133,,165561137,
134,montgomery village,US,20886,,20886,False,MD,20331 gentle way,134,,29543912,
135,Brighton,US,48114,,48114,False,MI,8252 Woodland Shore Drive,135,,31627171,
