,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Leoti,US,67861,,67861,False,KS,346 E Hwy 96,0,,,
1,Sharpsville,US,16150,1438,16150-1438,False,PA,447 Georgetown St,1,,,
2,LIBERTY,US,64068,,64068,False,MO,310 N WITHERS RD,2,,,
3,Mineral Wells,US,76067,,76067,False,TX,24 Cliff Drive,3,,141170254,
4,Atlanta,US,30317,,30317,False,GA,1000 Gilbert st,4,,54273885,
5,Federal Way,US,98023,4527,98023-4527,False,WA,708 SW 312th St,5,,10508721,
6,Naperville,US,60565,1558,60565-1558,False,IL,516 E Bailey Rd,6,,11432579,
7,Eads,US,38028,,38028,False,TN,285 woodsedge dr,7,,28975072,
8,New Britain,US,6051,2415,06051-2415,False,CT,13 Market St,8,,7432727,
9,Princeton,US,71067,8312,71067-8312,False,LA,521 Princeton Rd,9,,215470258,
10,Laurel,US,39440,2185,39440-2185,False,MS,19 Kimberley Dr,10,,54084898,
11,Laramie,US,82072,1846,82072-1846,False,WY,1210 Downey St,11,,,
12,Mason,US,48854,,48854,False,MI,"1006 Carom Cir, Mason MI 48854-9378",12,,172602704,
13,Grand Island,US,14072,1412,14072-1412,False,NY,1016 Ransom Rd,13,,168217566,
14,West Palm Beach,US,33407,6723,33407-6723,False,FL,2438 24th Way,14,,2602564,
