,inputs.attom_id,inputs.boolean,inputs.city,inputs.country,inputs.post_code,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error,attom_avm.row_id,attom_avm.client_id,attom_avm.error
0,1,False,Indianapolis,US,46227,IN,940 Tulip Dr,0,,28461481,,0,,
1,1,False,Troutville,US,24175-6054,VA,68 Rocky Top Rd,1,,214628965,,1,,
2,1,False,West Jefferson,US,43162,OH,3330 Taylor Blair Rd,2,,246515148,,2,,
3,1,False,Orange Park,US,32065,FL,4254 Eagle Landing Parkway,3,,164680663,,3,,
4,1,False,Chestnut Hill,US,2467,MA,140 commonwealth avenue,4,,202686834,,4,,
