,inputs.city,inputs.country,inputs.post_code,inputs.post_code_plus4,inputs.postcode,inputs.safety_flag,inputs.state,inputs.street,attom_expanded_profile_report.row_id,attom_expanded_profile_report.client_id,attom_expanded_profile_report.attom_id,attom_expanded_profile_report.error
0,Lakeland,US,33812,5237,33812-5237,False,FL,3160 Otto Dr,0,,162278089,
1,Indianapolis,US,46227,,46227,False,IN,940 Tulip Dr,1,,28461481,
2,Troutville,US,24175,6054,24175-6054,False,VA,68 Rocky Top Rd,2,,214628965,
3,West Jefferson,US,43162,,43162,False,OH,3330 Taylor Blair Rd,3,,246515148,
4,Orange Park,US,32065,,32065,False,FL,4254 Eagle Landing Parkway,4,,164680663,
5,Chestnut Hill,US,2467,,2467,False,MA,140 commonwealth avenue,5,,202686834,
6,sartell,US,56377,,56377,False,MN,1644 pebble creek drive,6,,212775496,
7,Trevor,US,53179,,53179,False,WI,29004 112th Pl,7,,53200641,
8,Newton,US,28658,,28658,False,NC,3649 North Olivers Cross Road,8,,176723099,
9,Englewood,US,80110,,80110,False,CO,3031 S Cherokee St,9,,146962509,
10,Fairfield,US,94533,6834,94533-6834,False,CA,2385 Burgundy Way,10,,156023420,
11,Duluth,US,55811,9729,55811-9729,False,MN,5956 Sunny Ln,11,,141071148,
12,Rego Park,US,11374,2213,11374-2213,False,NY,9725 64th Ave,12,,169759254,
13,Laconia,US,3246,2701,03246-2701,False,NH,16 Belknap St,13,,155173818,
14,Miami,US,33143,7790,33143-7790,False,FL,8215 SW 72nd Ave,14,,26311336,
15,Temecula,US,92591,4633,92591-4633,False,CA,27475 Ynez Rd Ste 726,15,,,
16,Kissimmee,US,34743,6038,34743-6038,False,FL,2633 Walden Ct,16,,17572120,
17,Durham,US,27703,8957,27703-8957,False,NC,322 Westgrove Ct,17,,203959324,
18,Martinez,US,94553,4964,94553-4964,False,CA,70 Fountainhead Ct,18,,18550459,
19,Long Beach,US,90808,2735,90808-2735,False,CA,3418 Woodruff Ave,19,,154870059,
